,respid,sample,int_date,fcall,attempt,refusal,lang,cregion,state,usr,scregion,sstate,susr,sdensity,timezone,comp,isex,irace1m1,irace1m2,irace1m3,irace1m4,ihisp1,form,phtype,qs1,q1,q2,q10af1,q10bf1,q14f2,q19,q20,q25,q33af1,q33bf1,q33cf1,q33df1,q33ff2,q33gf2,q33hf2,q33if2,q33jf2,q34f1,q44af1,q44bf1,q44cf1,q44ef1,q44ff1,q44gf1,q44hf2,q44if2,q44jf2,q44kf2,q44lf2,q44mf2,q44nf2,q47,q48f1,q49f2,q50a,q50b,q50c,q50d,q50e,q50ff1,q54f2,q55f1,q56f2,q57f2,q58,q60,q61a,q61b,q61c,q61df1,q61ef1,q61ff2,q61gf2,q61hf2,q61if1,q64,q65a,q65b,q65c,q65d,q65e,q66,q67,q68a,q68b,q68d,q69,q70,q70a,q71,q75,q76f1,q77f2,qi1,sex,age,educ,hisp,racecmb,racethn,birth_hisp,relig,chr,qf2,born,attend,income,reg,party,partyln,partysum,ideo,partyideo,partysumideo,hh1,hh3,adults,ql1,ql1a,qc1,ll,cp,money2,weight
0,2.0,Landline,190320.0,190320.0,1.0,No,English,Northeast,NY,U,Northeast,NY,U,3.0,Eastern,Complete,Female,White,,,,No,FORM 2,Listed Household,,Dissatisfied,Disapprove,,,Approve,Some of the time,Frustrated,Only some of the time,,,,,Even tempered,Not well informed,Doesn't keep his promises,Doesn't stand up for what he believes in,Not a good manager,,,,,,,,Keep spending the same,,,,,,,"No, not keeping promises",,Too little,Statement #2,(VOL) Don't know/Refused,Statement #2,(VOL) Don't know/Refused,Statement #2,,Not very much,,Bad for the U.S.,(VOL) Don't know/Refused,Favor,(VOL) Don't know/Refused,Some,Some,Some,,,Some,Some,Some,,Not too fair,A lot,A lot,A lot,A lot,A lot,Losing influence,Bad thing,(VOL) Don't know/Refused,Unfriendly toward religion,Friendly toward religion,(VOL) Don't know/Refused,Disapprove,Very strongly,Not at all well,A lot,,Definitely not done things that are unethical,(VOL) Don't know/Refused,Female,69.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Catholic,,Somewhat important,"No, would not",A few times a year,"Less than $10,000",Are you NOT registered to vote at your current address,Independent,(VOL) Other/Don't know/Refused,DK/Ref-no lean,(VOL) Don't know/Refused,Ind,DK/Ref to party or ideo,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,1.150112
1,3.0,Landline,190320.0,190320.0,1.0,No,English,Northeast,PA,U,Northeast,PA,U,Highest,Eastern,Complete,Male,White,,,,No,FORM 2,Unknown,,Dissatisfied,Disapprove,,,(VOL) Don't know/Refused,Some of the time,Frustrated,(VOL) Never,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Increase spending,,,,,,,(VOL) Don't know/Refused,,Too little,Statement #1,Statement #2,Statement #2,Statement #2,Statement #1,,(VOL) Don't know/Refused,,(VOL) Don't know/Refused,(VOL) Don't know/Refused,(VOL) Don't know/Refused,Never fair game,A lot,(VOL) Don't know/Refused,Only a little,,,A lot,A lot,A lot,,(VOL) Don't know/Refused,A lot,Not too much,A lot,A lot,A lot,Losing influence,Bad thing,(VOL) Don't know/Refused,Unfriendly toward religion,Unfriendly toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Not too well,A lot,,Definitely done things that are unethical,Several times a day,Male,75.0,High school graduate (Grade 12 with diploma or GED certificate),No,Black or African-American,Black non-Hispanic,,Protestant,,Somewhat important,(VOL) Don't know/Refused,Once or twice a month,"10 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,1.0,,1,"No, do not",,,Landline,No cellphone,,2.0922217
2,4.0,Landline,190320.0,190320.0,1.0,No,English,South,FL,S,South,FL,S,3.0,Eastern,Complete,Female,White,,,,No,FORM 1,Unknown,,(VOL) Don't know/Refused,Approve,Approve,Disapprove,,Most of the time,Frustrated,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,Keep spending the same,Increase spending,Keep spending the same,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",A fair amount,,Statement #2,Statement #1,Statement #2,Statement #2,Statement #1,Statement #1,,"Smaller government, fewer services",,,Favor,Never fair game,Only a little,None at all,Only a little,Only a little,None at all,,,,None at all,Moderately fair,Some,Some,Not too much,Some,Not too much,(VOL) Same,Good thing,Friendly toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Approve,Not so strongly,Not too well,A lot,Probably not done things that are illegal [OR],,Seldom,Male,55.0,High school graduate (Grade 12 with diploma or GED certificate),No,White,White non-Hispanic,,Jewish,,Not too important,,Seldom,"$150,000 or more",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.9633926
3,5.0,Landline,190320.0,190320.0,1.0,No,English,South,NC,R,South,NC,R,Lowest,Eastern,Complete,Female,White,,,,No,FORM 2,Listed Household,,Satisfied,Approve,,,Disapprove,Most of the time,Angry,(VOL) Never,,,,,Not even tempered,Well informed,(VOL) Don't know/Refused,Stands up for what he believes in,A good manager,,,,,,,,Keep spending the same,,,,,,,"No, not keeping promises",,About the right amount,Statement #2,Statement #1,Statement #2,(VOL) Neither/Both equally,Statement #2,,Not very much,,Good for the U.S. [OR],More important to other NATO member countries [OR],Strongly oppose,(VOL) Other/Depends,Only a little,Only a little,Some,,,Only a little,Only a little,Only a little,,Not too fair,Some,A lot,A lot,Some,A lot,Losing influence,Bad thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Not at all well,A lot,,Probably not done things that are unethical [OR],A few times a week,Male,67.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Very important,"Yes, would",Once a week,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],(VOL) No preference,Republican,Rep/lean Rep,Conservative,DK/Ref to party or ideo,Cons Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4893587
4,6.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,MI,R,Midwest,MI,R,Lowest,Eastern,Complete,Male,White,,,,No,FORM 2,SSI business flag,,Dissatisfied,Disapprove,,,Approve,Most of the time,Frustrated,Only some of the time,,,,,Not even tempered,Not well informed,Doesn't keep his promises,Stands up for what he believes in,Not a good manager,,,,,,,,Increase spending,,,,,,,"Yes, keeping promises",,Too little,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,,Very great deal,,Good for the U.S. [OR],About as important to the U.S. as other NATO member countries,Strongly favor,Never fair game,A lot,Some,None at all,,,A lot,Some,Some,,Not too fair,Some,Not too much,A lot,Not at all,A lot,Increasing influence,Bad thing,Unfriendly toward religion,Unfriendly toward religion,Neutral toward religion,Should keep out of political matters,Disapprove,Very strongly,Very well,A lot,,Probably done things that are unethical,Never,Female,53.0,"Some college, no degree (includes some community college)",No,White,White non-Hispanic,,Nothing in particular,,Not at all important,,Seldom,"30 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],(VOL) No preference,Democrat,Dem/lean Dem,Liberal [OR],DK/Ref to party or ideo,Lib Dem/ln Dem,4.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,1.9300092
5,7.0,Landline,190320.0,190320.0,1.0,No,English,Northeast,PA,S,Northeast,PA,S,2.0,Eastern,Complete,Male,White,,,,No,FORM 1,Listed Household,,Satisfied,Approve,Approve,Disapprove,,Most of the time,Basically content,Only some of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Keep spending the same,Increase spending,Increase spending,Keep spending the same,Keep spending the same,Decrease spending,,,,,,,,"No, not keeping promises",Not too much,,Statement #2,Statement #1,Statement #2,Statement #2,Statement #1,Statement #2,,"Smaller government, fewer services",,,Favor,Never fair game,A lot,A lot,Some,Some,Some,,,,None at all,Not too fair,A lot,Some,A lot,Some,A lot,Losing influence,Good thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Approve,Not so strongly,Somewhat well,A little,Probably done things that are illegal,,Never,Female,46.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Atheist,,Not at all important,,A few times a year,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Conservative,Cons Rep,Cons Rep/ln Rep,4.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,1.0624115
6,9.0,Landline,190320.0,190320.0,1.0,No,English,South,NC,S,South,NC,S,Lowest,Eastern,Complete,Male,White,,,,No,FORM 1,SSI business flag,,Satisfied,Approve,Disapprove,Disapprove,,Most of the time,Angry,(VOL) Never,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,(VOL) Don't know/Refused,Keep spending the same,Increase spending,Increase spending,Increase spending,Keep spending the same,,,,,,,,"No, not keeping promises",A great deal,,Statement #2,Statement #1,Statement #1,Statement #2,Statement #2,Statement #2,,"Smaller government, fewer services",,,Favor,Sometimes fair game [OR IS IT],Only a little,None at all,A lot,Some,A lot,,,,Some,Moderately fair,Not too much,A lot,Some,Not at all,Some,Losing influence,Bad thing,Unfriendly toward religion,Neutral toward religion,Neutral toward religion,Should keep out of political matters,Approve,Very strongly,Very well,A lot,Probably not done things that are illegal [OR],,A few times a week,Female,76.0,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",No,White,White non-Hispanic,,Protestant,,Somewhat important,"No, would not",Seldom,"50 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Republican,,Rep/lean Rep,Moderate,Mod-Lib Rep,Mod-Lib Rep/ln Rep,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4634453
7,10.0,Landline,190320.0,190320.0,1.0,No,English,Midwest,OH,S,Midwest,OH,S,2.0,Eastern,Complete,Female,White,,,,No,FORM 1,Listed Household,,Dissatisfied,Approve,Approve,Approve,,Some of the time,Basically content,Most of the time,Trustworthy,Able to get things done,A strong leader,Cares about people like me,,,,,,About right,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,Increase spending,,,,,,,,(VOL) Don't know/Refused,A fair amount,,Statement #2,Statement #1,Statement #1,Statement #2,Statement #1,Statement #2,,"Bigger government, more services",,,Favor,Sometimes fair game [OR IS IT],A lot,Some,None at all,Some,(VOL) Don't know/Refused,,,,None at all,Moderately fair,Some,A lot,A lot,A lot,Not at all,Losing influence,Bad thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,(VOL) Don't know/Refused,,Not at all well,A lot,Probably not done things that are illegal [OR],,A few times a week,Female,74.0,Two year associate degree from a college or university,No,White,White non-Hispanic,,Protestant,,Somewhat important,"No, would not",Seldom,(VOL) Don't know/Refused,Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Democrat,,Dem/lean Dem,Moderate,Cons-Mod Dem,Cons-Mod Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.9324629
8,11.0,Landline,190320.0,190320.0,1.0,No,English,South,SC,R,South,SC,R,Lowest,Eastern,Complete,Female,White,,,,No,FORM 1,SSI business flag,,Dissatisfied,Disapprove,Disapprove,Approve,,Most of the time,Frustrated,Only some of the time,Not trustworthy,Not able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,Increase spending,Increase spending,Keep spending the same,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Bigger government, more services",,,Strongly favor,Never fair game,A lot,A lot,Only a little,A lot,Only a little,,,,Only a little,Moderately fair,Not at all,Some,Some,Not at all,A lot,Losing influence,Good thing,Neutral toward religion,Neutral toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Very well,A lot,Probably done things that are illegal,,Never,Female,68.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Protestant,,Not too important,"No, would not",Never,"75 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Liberal [OR],Ind,Lib Dem/ln Dem,2.0,2.0,2,"Yes, have cell phone",,,Landline,Cellphone,,0.4634453
9,12.0,Landline,190320.0,190320.0,1.0,No,English,Northeast,ME,S,Northeast,ME,S,2.0,Eastern,Complete,Female,White,,,,No,FORM 1,Unknown,,Dissatisfied,Disapprove,Disapprove,(VOL) Don't know/Refused,,Most of the time,Frustrated,Only some of the time,Not trustworthy,Able to get things done,Not a strong leader,Doesn't care about people like me,,,,,,Too impulsive,Increase spending,(VOL) Don't know/Refused,Increase spending,Keep spending the same,Increase spending,Increase spending,,,,,,,,"Yes, keeping promises",None at all,,Statement #1,Statement #1,Statement #1,Statement #1,Statement #1,Statement #2,,"Bigger government, more services",,,Strongly favor,Never fair game,A lot,A lot,Only a little,A lot,Only a little,,,,None at all,Not too fair,Not at all,Some,Some,Not at all,Some,Losing influence,Good thing,Neutral toward religion,Friendly toward religion,Neutral toward religion,Should express their views on day-to-day social and political questions,Disapprove,Very strongly,Very well,A lot,Definitely done things that are illegal,,Never,Male,61.0,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD, gr",No,White,White non-Hispanic,,Nothing in particular,,Not at all important,,Seldom,"100 to under $150,000 [OR]",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address [OR],Independent,Democrat,Dem/lean Dem,Liberal [OR],Ind,Lib Dem/ln Dem,3.0,3.0,3 or more,"Yes, have cell phone",,,Landline,Cellphone,,0.4531368
